
                             %_LE:LE12 PI: PART                   
                             %-1-1 E: 1 Centroi  _S:S12 PI: PART-1
                 % X                  d           -1 E: 1 Centroid

               32.4               49.9343E-03       147.645      
               32.45              49.9992E-03       147.649      
               32.5               50.0642E-03       147.654      
               32.55              50.1293E-03       147.659      
               32.6               50.1943E-03       147.664      
               32.65              50.2593E-03       147.668      
               32.7               50.3244E-03       147.673      
               32.75              50.3894E-03       147.678      
               32.8               50.4544E-03       147.682      
               32.85              50.5193E-03       147.687      
               32.9               50.5844E-03       147.692      
               32.95              50.6495E-03       147.696      
               33.                50.7145E-03       147.701      
               33.05              50.7796E-03       147.706      
               33.1               50.8445E-03       147.711      
               33.15              50.9095E-03       147.715      
               33.2               50.9746E-03       147.72       
               33.25              51.0395E-03       147.725      
               33.3               51.1047E-03       147.729      
               33.35              51.1697E-03       147.734      
               33.4               51.2347E-03       147.739      
               33.45              51.2997E-03       147.743      
               33.5               51.3647E-03       147.748      
               33.55              51.4297E-03       147.753      
               33.6               51.4947E-03       147.757      
               33.65              51.5598E-03       147.762      
               33.7               51.6248E-03       147.767      
               33.75              51.6897E-03       147.772      
               33.8               51.7548E-03       147.776      
               33.85              51.8198E-03       147.781      
               33.9               51.8848E-03       147.786      
               33.95              51.9498E-03       147.79       
               34.                52.0148E-03       147.795      
               34.05              52.0799E-03       147.8        
               34.1               52.1448E-03       147.804      
               34.15              52.2098E-03       147.809      
               34.2               52.2749E-03       147.814      
               34.25              52.34E-03         147.819      
               34.3               52.405E-03        147.823      
               34.35              52.47E-03         147.828      
               34.4               52.535E-03        147.833      
               34.45              52.6E-03          147.837      
               34.5               52.665E-03        147.842      
               34.55              52.73E-03         147.847      
               34.6               52.795E-03        147.851      
               34.65              52.86E-03         147.856      
               34.7               52.9251E-03       147.861      
               34.75              52.9901E-03       147.866      
               34.8               53.055E-03        147.87       
               34.85              53.1201E-03       147.875      
               34.9               53.1852E-03       147.88       
               34.95              53.2502E-03       147.884      
               35.                53.3151E-03       147.889      
               35.05              53.3802E-03       147.894      
               35.1               53.4452E-03       147.898      
               35.15              53.5102E-03       147.903      
               35.2               53.5752E-03       147.908      
               35.25              53.6402E-03       147.913      
               35.3               53.7051E-03       147.917      
               35.35              53.7702E-03       147.922      
               35.4               53.8352E-03       147.927      
               35.45              53.9002E-03       147.931      
               35.5               53.9652E-03       147.936      
               35.55              54.0303E-03       147.941      
               35.6               54.0952E-03       147.945      
               35.65              54.1603E-03       147.949      
               35.7               54.2252E-03       147.953      
